2011-10-19T03:44:00.000Z	prodigalN00b		anyone around from earlier when we were talking about  resolv.conf, and network manager?
2011-10-19T03:45:00.000Z	yagoo	prodigalN00b	hi.. u again.. with the 400 servers.. wazzup
2011-10-19T03:46:00.000Z	yagoo	prodigalN00b	did u have to blacklist nouveau like i told u?
2011-10-19T03:47:00.000Z	prodigalN00b	yagoo	sure did
2011-10-19T03:48:00.000Z	prodigalN00b	yagoo	any idea why on bootup the (is it grub?) splash screen, and basic TTY's are all garbage? I can't see anything clearly until i'm actually IN the window manager
2011-10-19T03:49:00.000Z	yagoo	prodigalN00b	if u switch to tty1 when the gui logon screen shows up.. can u see the proper text login: ?
2011-10-19T03:49:00.000Z	yagoo	prodigalN00b	and without having done a gui logon session
2011-10-19T03:50:00.000Z	prodigalN00b	yagoo	no, it goes all ape nasty
2011-10-19T03:50:00.000Z	yagoo	prodigalN00b	u sure u disabled nouveau?
2011-10-19T03:50:00.000Z	yagoo	prodigalN00b	lsmod|grep -i nouv
2011-10-19T03:50:00.000Z	prodigalN00b	yagoo	yeah
2011-10-19T03:50:00.000Z	yagoo	prodigalN00b	pastebinit ur X log
2011-10-19T03:50:00.000Z	yagoo	prodigalN00b	and ur grub.cfg if u want..
2011-10-19T03:52:00.000Z	yagoo	prodigalN00b	btw does the screen flicker every 10 seconds?
2011-10-19T03:52:00.000Z	prodigalN00b	yagoo	no, it's white with black text, but i only see about 15% of the text  on the screen, and it's mirrored
2011-10-19T03:52:00.000Z	prodigalN00b	yagoo	looks all blotchy
2011-10-19T03:53:00.000Z	prodigalN00b	yagoo	http://paste.ubuntu.com/712616/, http://paste.ubuntu.com/712618/
2011-10-19T03:57:00.000Z	prodigalN00b	yagoo	that grub conf is a lot more complex that i recall them being, lol
2011-10-19T03:57:00.000Z	yagoo	prodigalN00b	btw what's the dpi supposed to be acording to your monitor ? i don't think it's 75x75 is it?
2011-10-19T03:58:00.000Z	prodigalN00b	yagoo	it's my 50" plasma
2011-10-19T03:58:00.000Z	prodigalN00b	yagoo	actually, i think i recall seeing it mention my reciever
2011-10-19T03:59:00.000Z	yagoo	prodigalN00b	can u find that out?
2011-10-19T03:59:00.000Z	prodigalN00b	yagoo	well i don't think my reciever would indicate any DPI since it's a pass thru
2011-10-19T03:59:00.000Z	prodigalN00b	yagoo	but isn't the x log a moot point since we're talking about BEFORE x starts?
2011-10-19T04:00:00.000Z	prodigalN00b	yagoo	i'm having an issue with standard TTY, and grub boot splash
2011-10-19T04:01:00.000Z	yagoo	prodigalN00b	did u take a look at this? http://forum.xbmc.org/showthread.php?p=489752
2011-10-19T04:01:00.000Z	yagoo	prodigalN00b	if that's correct for those 4-5 lines -- option dpi would have an effect..
2011-10-19T04:01:00.000Z	yagoo	prodigalN00b	u can pastebinit ur xorg.conf file
2011-10-19T04:01:00.000Z	prodigalN00b	yagoo	it'd have an effect for grub?
2011-10-19T04:02:00.000Z	yagoo	prodigalN00b	kms
2011-10-19T04:02:00.000Z	yagoo	prodigalN00b	it can have an effect on tty1-6
2011-10-19T04:03:00.000Z	prodigalN00b	yagoo	^^^ yeah i could see that, but really i think the issue starts sooner than X
2011-10-19T04:03:00.000Z	prodigalN00b	yagoo	it's not like i often need to go to a tty, but i tihnk it looks ugly as it boots up in grub (it's just white with black blocks)
2011-10-19T04:03:00.000Z	yagoo	prodigalN00b	is that the xorg.conf made from X -configure from yesterday?
2011-10-19T04:04:00.000Z	prodigalN00b	yagoo	it's the one that the nvidia configurator built
2011-10-19T04:04:00.000Z	yagoo	prodigalN00b	line 155 -> http://paste.ubuntu.com/712616/
